O3 wind humidity temp dpg vis doy
14 4 71 42 4 60 115
9 3 19 55 -16 100 116
11 6 45 40 38 150 117
7 4 44 39 40 150 118
9 7 70 57 -5 200 119
12 6 45 58 -14 100 120
12 3 46 62 34 300 121
8 6 50 51 42 120 121
9 5 69 61 35 100 122
5 6 67 34 75 200 123
4 7 69 35 41 200 124
4 5 54 35 62 200 125
9 6 51 48 44 300 126
13 6 63 59 31 300 127
5 7 63 41 56 250 128
10 7 57 58 27 120 129
10 6 61 51 57 140 130
7 7 78 46 55 200 131
5 4 65 40 59 140 132
4 5 44 35 24 80 133
7 7 51 46 29 300 134
3 5 73 39 107 100 135
4 11 35 32 36 300 136
7 6 35 47 28 200 137
11 6 61 50 30 120 138
15 4 50 65 1 100 139
22 4 57 66 10 120 140
17 5 68 69 46 60 141
7 6 58 59 81 120 142
10 5 65 64 45 100 143
19 7 78 68 40 100 144
18 7 73 49 55 27 145
12 5 41 52 0 40 146
6 9 47 56 43 140 147
9 6 46 55 49 150 148
19 5 61 66 31 100 149
21 4 55 74 4 100 150
29 4 60 76 16 120 151
16 8 78 70 46 150 152
11 4 71 67 60 120 154
2 6 77 41 75 120 156
12 8 66 61 20 140 157
16 6 74 68 23 120 158
22 3 78 69 32 70 159
20 7 78 74 40 80 160
27 6 75 74 24 70 161
33 3 80 80 0 40 162
25 6 88 84 6 20 163
31 4 76 78 50 17 164
18 6 63 80 47 40 165
24 7 78 76 56 50 167
16 3 74 74 52 70 168
12 7 63 66 58 80 169
9 8 62 66 53 120 170
16 5 53 69 64 100 172
8 9 62 62 74 120 174
9 5 71 67 66 200 175
29 3 68 80 31 120 176
20 7 79 76 70 40 177
5 3 76 65 86 70 178
5 6 71 65 75 100 179
11 3 66 63 73 120 180
12 4 81 62 49 100 181
19 4 72 68 26 120 181
17 8 92 68 56 70 182
19 6 71 69 77 80 183
16 6 64 66 67 100 184
14 6 68 70 61 100 185
10 7 59 70 76 120 186
9 8 67 64 80 120 187
7 6 66 61 54 120 188
5 3 61 52 76 150 189
2 9 81 48 57 140 190
12 5 63 59 46 140 191
22 3 58 67 28 140 192
17 5 68 66 43 140 193
26 4 71 74 -24 60 194
27 6 67 83 -1 30 195
14 3 64 78 75 17 196
11 6 64 75 69 80 197
23 4 69 84 50 60 198
26 3 77 81 45 100 199
21 3 61 79 57 120 200
15 4 69 79 60 150 201
20 5 64 65 26 120 202
15 4 33 81 -11 140 203
18 7 38 84 -14 140 204
26 4 54 83 26 120 205
19 6 39 90 19 120 206
13 5 43 90 9 80 207
30 7 55 93 25 140 208
26 4 77 88 41 140 209
15 5 63 72 52 150 210
16 5 65 72 47 120 211
16 8 64 70 52 120 212
19 6 68 78 41 140 213
23 3 76 87 37 100 214
28 6 71 91 33 50 215
34 6 86 87 22 40 216
33 5 65 91 29 100 217
24 4 73 88 56 100 219
17 5 69 83 63 60 220
10 3 64 78 67 50 221
14 3 63 79 64 70 222
13 9 72 77 56 80 223
17 6 82 81 58 80 224
22 8 69 76 54 90 226
19 4 74 78 61 120 227
20 5 69 75 55 120 228
25 7 72 82 42 100 229
28 6 73 84 40 60 230
29 4 90 86 45 40 231
23 3 80 80 32 40 233
26 3 73 80 35 70 234
14 4 71 84 28 80 235
13 4 78 84 27 80 236
26 6 80 81 39 80 237
22 8 74 85 46 80 238
14 6 63 73 46 120 241
13 6 57 72 56 150 241
9 3 55 68 60 200 242
12 4 65 65 59 150 243
14 7 65 79 30 100 249
24 5 72 81 28 80 251
19 5 79 80 57 70 252
16 6 62 76 71 60 253
7 7 65 59 68 150 254
2 5 77 55 73 200 255
4 7 70 66 45 200 256
6 7 58 64 46 200 257
12 5 58 62 52 250 258
9 7 72 67 31 300 259
15 5 77 74 43 70 260
17 4 57 74 44 300 261
13 3 67 70 55 150 262
20 3 73 77 16 300 263
22 7 70 83 32 30 264
24 4 73 81 44 100 265
26 7 73 73 39 100 266
32 6 71 87 19 17 267
33 4 77 89 24 20 268
27 3 68 92 6 4 269
38 5 62 92 0 70 270
23 8 61 93 27 30 271
19 5 71 93 33 70 271
19 8 77 86 21 60 272
15 7 71 76 -2 40 273
28 5 67 81 17 50 274
10 6 74 78 26 70 275
14 7 65 73 10 140 276
26 6 82 80 0 100 277
17 4 67 81 0 120 278
3 7 87 52 39 150 281
14 4 71 63 13 50 282
29 5 77 72 10 70 283
18 5 78 75 7 40 284
3 7 72 55 56 70 285
9 3 71 61 35 140 287
19 5 71 71 26 140 288
8 5 76 71 31 100 289
23 6 76 72 31 70 291
13 6 73 75 35 40 292
7 5 80 65 17 100 294
3 9 73 61 39 120 295
5 8 80 60 36 120 296
11 5 75 64 25 140 297
12 4 68 61 18 120 298
5 5 93 63 30 70 299
4 7 57 62 25 150 300
5 3 70 59 38 200 301
4 6 65 56 35 200 302
10 6 66 59 13 200 303
17 4 73 72 0 70 304
26 3 77 71 -9 40 305
30 5 80 75 -10 50 306
18 4 73 71 -39 17 307
12 5 19 71 -40 80 308
7 6 19 73 -34 250 309
15 3 73 78 -3 200 310
12 5 76 73 27 2 311
7 8 77 71 -17 20 312
28 5 86 73 -2 7 313
22 5 76 71 13 30 314
18 7 66 66 27 50 315
14 4 74 69 11 70 316
24 5 71 69 21 17 317
10 4 84 64 23 80 318
14 5 74 65 -7 50 319
9 7 48 54 -13 60 320
12 8 75 62 12 60 321
7 6 74 56 13 80 322
7 4 67 55 11 50 323
6 4 75 58 25 50 324
13 5 71 48 21 40 325
5 3 35 54 -41 40 326
3 5 23 57 -21 300 327
7 6 19 60 -19 200 328
8 7 59 61 10 150 329
10 4 60 63 0 100 330
12 0 38 65 -11 100 331
6 3 22 71 -40 150 333
5 7 19 70 -29 300 335
20 0 45 68 -22 30 337
14 2 47 69 -4 50 339
16 2 73 59 18 20 340
5 4 67 49 24 200 341
3 9 56 39 15 120 342
5 3 54 50 27 300 343
1 3 71 46 54 200 344
5 5 59 54 -28 70 345
4 0 25 60 -38 140 346
11 0 24 62 -36 150 347
6 5 41 65 -20 200 348
8 3 50 66 1 4 349
14 0 76 66 3 40 350
18 2 82 63 -8 30 351
12 2 81 62 -17 30 352
9 2 85 60 -22 2 353
7 5 76 63 -15 0 354
14 5 66 60 7 30 355
4 6 58 58 59 60 356
3 8 19 34 -63 150 357
3 0 19 36 -52 100 358
3 4 19 44 -54 250 359
3 2 19 53 -43 150 360
3 2 19 52 -69 200 361
3 3 19 53 -50 200 362
3 2 27 58 -24 200 363
6 0 64 55 28 80 364
6 0 52 50 -22 60 365
5 4 19 48 -40 300 366
3 3 19 51 -33 200 367
4 0 32 62 -16 300 368
7 0 58 40 2 50 369
5 0 26 44 -52 40 370
5 5 19 49 -48 70 371
4 3 19 53 -37 150 372
3 0 19 53 -26 150 373
2 0 19 53 -31 70 374
5 3 19 55 -48 200 375
3 0 19 51 -50 120 376
4 4 19 54 -22 150 377
4 2 58 48 -10 150 378
6 0 51 53 0 60 379
6 3 52 49 -19 70 380
3 5 19 48 -28 150 381
4 4 19 51 -25 300 382
3 4 57 47 -10 100 383
8 4 50 50 -5 70 384
2 3 53 51 -14 200 387
3 3 23 51 -36 70 388
5 3 61 50 18 40 389
1 4 85 39 8 100 390
